Libellé,Trefilage
1991-02-01,-0.07452476272941233
1991-03-01,-0.07565873720313832
1991-04-01,0.13652867934302026
1991-05-01,-0.13081620633630386
1991-06-01,0.08679159305902218
1991-07-01,0.03232372574905007
1991-08-01,-0.3972196563384429
1991-09-01,0.37190775630768425
1991-10-01,-0.007038415425271616
1991-11-01,-0.02904224937687694
1991-12-01,0.005821789543446698
1992-01-01,0.117769276623652
1992-02-01,0.04921100228567621
1992-03-01,0.05980755234758561
1992-04-01,-0.07458407317643712
1992-05-01,-0.0644553020142542
1992-06-01,0.07839156625247057
1992-07-01,-0.08071465503973574
1992-08-01,0.04545547044082232
1992-09-01,-0.01012633647115413
1992-10-01,-0.06338704269113205
1992-11-01,0.029911491560992154
1992-12-01,-0.04485656696827611
1993-01-01,-0.15598581540811196
1993-02-01,0.07285106562599353
1993-03-01,0.016812925982811144
1993-04-01,-0.0008123180523265106
1993-05-01,0.012361155003545399
1993-06-01,0.0047177943295686475
1993-07-01,0.07169781745460568
1993-08-01,-0.5869964389971933
1993-09-01,0.5529827899614608
1993-10-01,-0.061410207631306335
1993-11-01,0.07515865397845811
1993-12-01,0.13555045895012885
1994-01-01,-0.020749043872044126
1994-02-01,0.026199918597840544
1994-03-01,0.031665689270719
1994-04-01,-0.07145410557929299
1994-05-01,0.1857957604479603
1994-06-01,-0.05059348715389511
1994-07-01,-0.09487750479364365
1994-08-01,0.1197379383396151
1994-09-01,-0.08027152126694981
1994-10-01,0.00562363715993186
1994-11-01,0.08405936201783337
1994-12-01,-0.045547335926655386
1995-01-01,0.020188678215328437
1995-02-01,-0.1465268785965117
1995-03-01,-0.0008105452522642054
1995-04-01,-0.0737470547360175
1995-05-01,0.03645462699267199
1995-06-01,-0.13321573325067249
1995-07-01,0.045993816935167686
1995-08-01,0.05253326190788332
1995-09-01,-0.13085404432084502
1995-10-01,0.0688290224385879
1995-11-01,-0.19622153247711172
1995-12-01,-0.031068758674853036
1996-01-01,0.050807094124253105
1996-02-01,0.06751682884310028
1996-03-01,-0.057462293409968446
1996-04-01,0.18651789327495205
1996-05-01,-0.18609702353868585
1996-06-01,0.0885545971108499
1996-07-01,0.13578407539447923
1996-08-01,0.2662180258840814
1996-09-01,-0.23205906891866546
1996-10-01,-0.06638697490386747
1996-11-01,0.0870678497956856
1996-12-01,0.12735802679230268
1997-01-01,-0.08432515608097635
1997-02-01,0.06282591230912793
1997-03-01,-0.06172287577422608
1997-04-01,0.09845052072522709
1997-05-01,-0.04885604234334728
1997-06-01,0.07374552186950378
1997-07-01,-0.16949678336260554
1997-08-01,0.1507922043943868
1997-09-01,-0.08029473768442585
1997-10-01,0.13196245037280452
1997-11-01,-0.19498221205194088
1997-12-01,0.05154999313166364
1998-01-01,-0.026869691730488476
1998-02-01,-0.03267797548225815
1998-03-01,0.1369083075161024
1998-04-01,-0.17756718241605274
1998-05-01,0.01081007939806966
1998-06-01,-0.012843981575680452
1998-07-01,-0.009788400865812896
1998-08-01,0.39828489640174247
1998-09-01,-0.37737981039981605
1998-10-01,-0.14585464389172298
1998-11-01,0.20487033540491328
1998-12-01,-0.23661268381047496
1999-01-01,0.04909326992148344
1999-02-01,0.038194883315636474
1999-03-01,-0.03107905522930743
1999-04-01,0.04179188019939328
1999-05-01,0.048718329980595776
1999-06-01,-0.016148995085077722
1999-07-01,0.0035810369894040406
1999-08-01,0.048814317385279526
1999-09-01,-0.0021283014197908123
1999-10-01,-0.03922188454889586
1999-11-01,0.04423658225858684
1999-12-01,0.13643468772920198
2000-01-01,-0.11006319174499435
2000-02-01,0.02490532140851176
2000-03-01,0.00877270474634706
2000-04-01,-0.1557222314107829
2000-05-01,0.24315049022527813
2000-06-01,-0.18299372120697388
2000-07-01,0.023182466323488526
2000-08-01,0.11036777057347136
2000-09-01,-0.16341502699313315
2000-10-01,-0.027167156004351156
2000-11-01,0.0997690767672017
2000-12-01,-0.09734935927977695
2001-01-01,0.15635749100122087
2001-02-01,-0.09563685442675496
2001-03-01,-0.04590843043898207
2001-04-01,0.08888529778951071
2001-05-01,-0.08824652464550642
2001-06-01,0.08540834824987087
2001-07-01,0.017234974560396132
2001-08-01,-0.14064300554127618
2001-09-01,-0.038108050157836804
2001-10-01,0.23484793247112368
2001-11-01,-0.23353635468900613
2001-12-01,-0.06807876191825901
2002-01-01,0.11064713215421662
2002-02-01,0.08099212746091311
2002-03-01,-0.06522007735402102
2002-04-01,0.15866009148757243
2002-05-01,-0.14693171264883365
2002-06-01,0.037089206645405604
2002-07-01,0.07422878817668543
2002-08-01,-0.09306297392621765
2002-09-01,0.16065469976978264
2002-10-01,-0.12343351898637156
2002-11-01,0.028825229263614638
2002-12-01,0.06487451100031727
2003-01-01,-0.10254517490752146
2003-02-01,-0.06843702703135524
2003-03-01,0.059785748869828126
2003-04-01,-0.12002183729506033
2003-05-01,-0.05332818936867412
2003-06-01,0.06210749814132921
2003-07-01,-0.00754501405070318
2003-08-01,-0.009500294988753932
2003-09-01,0.05567604259809089
2003-10-01,-0.04437347451270224
2003-11-01,-0.044638206876509656
2003-12-01,0.10651001064793064
2004-01-01,-0.021090590227057504
2004-02-01,0.06776694778169823
2004-03-01,0.07013804073150443
2004-04-01,-0.02470429857055567
2004-05-01,0.028674749618165407
2004-06-01,0.0364859162736062
2004-07-01,-0.14354319822709627
2004-08-01,0.27574604538317526
2004-09-01,-0.2318908778701223
2004-10-01,-0.010681206708898827
2004-11-01,0.06453391217321691
2004-12-01,-0.06929777139740434
2005-01-01,-0.07293737992963933
2005-02-01,-0.061941412062229695
2005-03-01,-0.09525249322972318
2005-04-01,-0.016384158346144595
2005-05-01,0.06477968507107867
2005-06-01,-0.1237056796830176
2005-07-01,0.09931942574139896
2005-08-01,0.04645776355501319
2005-09-01,0.06509592493533223
2005-10-01,-0.05734838481177995
2005-11-01,0.020456334340613225
2005-12-01,0.04078257967659482
2006-01-01,0.08295528921144246
2006-02-01,0.005029169518555143
2006-03-01,0.049946824800496614
2006-04-01,-0.06072096473191024
2006-05-01,0.14245990575066259
2006-06-01,-0.030088184181778388
2006-07-01,0.02869826567869982
2006-08-01,-0.20646191371271083
2006-09-01,0.10059375152088101
2006-10-01,0.09624925618597757
